LOW,HIGH,t5_DESI_COUNT,t5_EXCEPT_COUNT,t3_220M_COUNT,t3_17M_COUNT,t3_33M_COUNT,t5_BOSS_COUNT
5.434636869225583E-4,5.477094969766407E-4,0.0,0.0,2.734999579230834E-4,0.0,1.721102034872175E-4,0.0
5.477094969766412E-4,5.519884774217711E-4,0.0,0.0,2.8752559679093385E-4,0.0,2.3830643559768578E-4,0.0
5.519884774217711E-4,5.563008874016285E-4,0.0,0.0,2.6648713848915817E-4,0.0,1.985886963314048E-4,0.0
5.563008874016285E-4,5.606469880844536E-4,0.0,0.0,1.9635894414990604E-4,0.0,1.721102034872175E-4,0.0
5.606469880844541E-4,5.650270426788638E-4,0.0,0.0,3.57653791130186E-4,0.0,2.647849284418731E-4,0.0
5.650270426788638E-4,5.694413164497922E-4,0.0,0.0,3.716794299980364E-4,0.0,2.780241748639667E-4,0.0
5.694413164497922E-4,5.738900767345561E-4,0.0,0.0,2.8051277735700864E-4,0.0,2.5154568201977946E-4,0.0
5.738900767345566E-4,5.783735929590452E-4,0.0,0.0,3.9271788829981207E-4,0.0,2.912634212860604E-4,0.0
5.783735929590446E-4,5.828921366540369E-4,0.0,0.0,4.55833263205139E-4,0.0,3.177419141302477E-4,0.0
5.828921366540376E-4,5.87445981471647E-4,0.0,0.0,3.2960251339448515E-4,0.0,2.647849284418731E-4,0.0
5.874459814716477E-4,5.920354032018947E-4,0.0,0.0,4.698589020729894E-4,0.0,3.8393814624071594E-4,0.0
5.920354032018942E-4,5.966606797894087E-4,0.0,0.0,4.347948049033634E-4,0.0,3.574596533965287E-4,0.0
5.966606797894094E-4,6.01322091350264E-4,0.0,0.0,5.610255547140173E-4,0.0,4.2365588550699693E-4,0.0
6.01322091350264E-4,6.060199201889377E-4,0.0,0.0,5.54012735280092E-4,0.0,3.971773926628096E-4,0.0
6.060199201889377E-4,6.107544508154136E-4,0.0,0.0,4.488204437712138E-4,0.0,3.8393814624071594E-4,0.0
6.107544508154142E-4,6.155259699624094E-4,0.0,0.0,5.960896518836433E-4,0.0,4.5013437835118424E-4,0.0
6.155259699624094E-4,6.203347666027407E-4,0.0,0.0,7.012819433925215E-4,0.0,5.560483497279334E-4,0.0
6.203347666027407E-4,6.251811319668243E-4,0.0,0.0,6.451793879211198E-4,0.0,5.295698568837462E-4,0.0
6.25181131966825E-4,6.300653595603156E-4,0.0,0.0,7.223204016942972E-4,0.0,5.692875961500272E-4,0.0
6.300653595603156E-4,6.349877451818804E-4,0.0,0.0,5.820640130157928E-4,0.0,4.5013437835118424E-4,0.0
6.349877451818804E-4,6.399485869411137E-4,0.0,0.0,6.802434850907459E-4,0.0,5.163306104616525E-4,0.0
6.399485869411143E-4,6.449481852765916E-4,0.0,0.0,7.573844988639233E-4,0.0,5.957660889942144E-4,0.0
6.449481852765916E-4,6.499868429740648E-4,0.0,0.0,6.592050267889703E-4,0.0,5.030913640395589E-4,0.0
6.499868429740648E-4,6.550648651847995E-4,0.0,0.0,6.802434850907459E-4,0.0,5.428091033058398E-4,0.0
6.550648651848001E-4,6.601825594440561E-4,0.0,0.0,6.311537490532694E-4,0.0,5.560483497279334E-4,0.0
6.601825594440555E-4,6.653402356897119E-4,0.0,0.0,7.223204016942972E-4,0.0,5.428091033058398E-4,0.0
6.653402356897127E-4,6.705382062810383E-4,0.0,0.0,4.698589020729894E-4,0.0,3.706988998186223E-4,0.0
6.705382062810383E-4,6.757767860176088E-4,0.0,0.0,8.13487054335325E-4,0.0,6.619623211046827E-4,0.0
6.757767860176088E-4,6.810562921583712E-4,0.0,0.0,9.186793458442033E-4,0.0,7.678762924814319E-4,0.0
6.810562921583718E-4,6.863770444408589E-4,0.0,0.0,8.695896098067267E-4,0.0,7.413977996372446E-4,0.0
6.863770444408589E-4,6.917393651005529E-4,0.0,0.0,7.784229571656989E-4,0.0,6.354838282604954E-4,0.0
6.917393651005529E-4,6.971435788904008E-4,0.0,0.0,8.275126932031754E-4,0.0,6.354838282604954E-4,0.0
6.971435788904014E-4,7.025900131004825E-4,0.0,0.0,6.52192207355045E-4,0.0,5.825268425721208E-4,0.0
7.025900131004825E-4,7.080789975778298E-4,0.0,0.0,8.485511515049511E-4,0.0,6.8844081394887E-4,0.0
7.080789975778298E-4,7.136108647464065E-4,0.0,0.0,7.433588599960728E-4,0.0,6.222445818384018E-4,0.0
7.136108647464071E-4,7.191859496272383E-4,0.0,0.0,8.836152486745772E-4,0.0,7.016800603709636E-4,0.0
7.191859496272383E-4,7.248045898587008E-4,0.0,0.0,8.485511515049511E-4,0.0,6.354838282604954E-4,0.0
7.248045898587008E-4,7.304671257169717E-4,0.0,0.0,0.0010028331790513057,0.0,7.811155389035256E-4,0.0
7.304671257169725E-4,7.361739001366361E-4,0.0,0.0,0.0012202305815029876,0.0,9.532257423907431E-4,0.0
7.361739001366354E-4,7.419252587314527E-4,0.0,0.0,9.397178041459788E-4,0.0,7.811155389035256E-4,0.0
7.419252587314534E-4,7.477215498152926E-4,0.0,0.0,9.607562624477545E-4,0.0,8.605510174360875E-4,0.0
7.477215498152926E-4,7.535631244232244E-4,0.0,0.0,0.001072961373390558,0.0,8.075940317477129E-4,0.0
7.535631244232244E-4,7.594503363327806E-4,0.0,0.0,0.0011220511094280346,0.0,9.797042352349304E-4,0.0
7.594503363327813E-4,7.65383542085381E-4,0.0,0.0,0.0012342562203708379,0.0,0.0010459004673453987,0.0
7.65383542085381E-4,7.713631010079228E-4,0.0,0.0,0.0015217818171617717,0.0,0.0011782929315663352,0.0
7.713631010079228E-4,7.77389375234547E-4,0.0,0.0,0.0012833459564083145,0.0,0.001072378960189586,0.0
7.773893752345477E-4,7.834627297285675E-4,0.0,0.0,0.0014236023450868187,0.0,0.0011385751923000543,0.0
7.834627297285675E-4,7.895835323045717E-4,0.0,0.0,0.0014937305394260708,0.0,0.0011782929315663352,0.0
7.895835323045717E-4,7.957521536507008E-4,0.0,0.0,0.00146567926169037,0.0,0.0011915321779884288,0.0
7.957521536507017E-4,8.019689673510976E-4,0.0,0.0,0.0011781536648994362,0.0,9.664649888128367E-4,0.0
8.019689673510976E-4,8.082343499085277E-4,0.0,0.0,0.001725153580745603,0.0,0.0013371638886314592,0.0
8.082343499085277E-4,8.145486807671879E-4,0.0,0.0,0.0014797049005582205,0.0,0.001297446149365178,0.0
8.145486807671887E-4,8.209123423356822E-4,0.0,0.0,0.0015568459143313978,0.0,0.0012180106708326163,0.0
8.209123423356813E-4,8.273257200101786E-4,0.0,0.0,0.0021318971079132653,0.0,0.0017078627884500814,0.0
8.273257200101795E-4,8.337892021977587E-4,0.0,0.0,0.0019355381637633595,0.0,0.0016416665563396132,0.0
8.337892021977587E-4,8.403031803399285E-4,0.0,0.0,0.0017321664001795282,0.0,0.0014033601207419273,0.0
8.403031803399285E-4,8.468680489363339E-4,0.0,0.0,0.001563858733765323,0.0,0.0013106853957872717,0.0
8.468680489363348E-4,8.534842055686496E-4,0.0,0.0,0.0018934612471598082,0.0,0.001496034845696583,0.0
8.534842055686496E-4,8.601520509246545E-4,0.0,0.0,0.001662038205840276,0.0,0.0014298386135861148,0.0
8.601520509246545E-4,8.668719888225031E-4,0.0,0.0,0.0022931919548935453,0.0,0.001760819774138456,0.0
